Basisinformationen,,,,,,Chatbot vorhanden?,,Informationen zum Chatbot,,,,,,
Name,Einwohner,Bundesland,PLZ,URL Homepage,URL Serviceportal oder Service-Seiten,Chatbot auf Homepage (y/n),Chatbot auf Serviceportal (y/n),115-Chatbot?,Indizien zum Chatbot (Zusatzinfos gefunden?),Regelbasiert?,LLM?,URL Nutzungsbedingungen,URL Datenschutz,"URL Bot-Information (Erklärseiten, Pressemitteilung, etc.)"
Gera,93634,TH,7545,http://www.gera.de/,https://www.gera.de/serviceportal,nein,nein,,,,,,,
Gießen,94146,HE,35390,http://www.giessen.de/,https://www.gera.de/verwaltung-buergerservice,nein,nein,,,,,,,
Gladbeck,75889,NRW,45964,https://stadt-gladbeck.de/,https://serviceportal.gladbeck.de/,nein,nein,,,,,,,
Glauchau,21951,SN,8371,http://www.glauchau.de/,https://www.glauchau.de/de/buergerbuero.html,nein,nein,,,,,,,
Goslar,50203,NI,38640,http://www.goslar.de/,https://service.goslar.de/?search=,nein,nein,,,,,,,
Gotha,46019,TH,99867,http://www.gotha.de/,https://www.gotha.de/de/leistungen-a-z.html,nein,nein,,,,,,,
Greifswald,59691,MV,17489,http://www.greifswald.de/,https://www.greifswald.de/de/verwaltung-politik/verwaltungsleistungen/index.html,nein,nein,,,,,,,
Gräfelfing,13769,BY,82166,http://www.graefelfing.de/,https://www.graefelfing-digital.de/buergerservice/online-ins-rathaus/formulare-onlinedienste,nein,nein,,,,,,,
Göttingen,118946,NI,37083,http://www.goettingen.de/,https://serviceportal.goettingen.de/,nein,nein,,,,,,,
Gütersloh,102393,NRW,33330,http://www.guetersloh.de,https://buergerportal.guetersloh.de/onlinedienste,nein,nein,,,,,,,
Hagen,189783,NRW,58095,http://www.hagen.de/,https://www.hagen.de/web/de/hagen_de/04/0402/040202/040202.html,nein,nein,nein,/,nein,nein,,,
Halle (Saale),242083,ST,6108,http://www.halle.de/,https://halle.de/serviceportal/online-dienste,nein,nein,,,,,,,
Hamburg,1892122,HH,20038,http://www.hamburg.de/,https://www.hamburg.de/service,nein,ja,,Funktioniert Stand 19.12 nicht (502 Bad Gateway),,,,,
Hameln,57905,NI,31785,http://www.hameln.de/,https://service.hameln.de/,ja,ja,,,,,,,
Hamm,180849,NRW,59065,http://www.hamm.de/,https://serviceportal.hamm.de/,nein,nein,,,,,,,
Hanau,101364,HE,63450,http://www.hanau.de/,https://www.hanau-digital.de/bsp,nein,ja,,,,,,,
Hannover,545045,NI,30159,http://www.hannover.de/,https://www.hannover.de/Leben-in-der-Region-Hannover/B%C3%BCrger-Service,nein,nein,,,,,,,
Heidelberg,162273,BW,69117,http://www.heidelberg.de/,https://www.heidelberg.de/HD/Rathaus/Formulare+_+Online_Dienste.html,ja,nein,nein,"KI-Technologie (LLM), Erklärung - wie funktioniert LLM",nein,ja,,https://www.heidelberg.de/Digitale-Stadt/startseite/projekte/datenschutzhinweise.html,https://www.heidelberg.de/site/Heidelberg2021/node/1871541/index.html
Heidenheim an der Brenz,50025,BW,89522,http://www.heidenheim.de/,https://www.heidenheim.de/rathaus-und-verwaltung/buergerservice,ja,ja,,,,,,,
Heilbronn,128334,BW,74072,http://www.stadt-heilbronn.de/,https://www.heilbronn.de/rathaus/buergerservice-a-z/inhalt/digitaler-buergerservice.html,ja,ja,,,,,,,
Hennigsdorf,26728,BB,16761,http://www.hennigsdorf.de/,https://openrathaus.hennigsdorf.de/,nein,nein,,,,,,,
Herford,67459,NRW,32052,http://www.herford.de/,Startseite - Serviceportal Stadt Herford,ja,nein,,,nein,ja,,,
Herne,157368,NRW,44621,http://www.herne.de/,https://www.herne.de/Rathaus/Buergerservice/,nein,nein,,,,,,,
Hildesheim,101858,NI,31134,http://www.hildesheim.de/,https://serviceportal.stadt-hildesheim.de/,nein,nein,,,,,,,
Hof,46656,BY,95015,http://www.stadt-hof.de/,https://www.hof.de/rathaus-service/buergerservice,nein,nein,,,,,,,
Hoyerswerda,31356,SN,2977,http://www.hoyerswerda.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Ingolstadt,141029,BY,85047,http://www.ingolstadt.de/,https://www.ingolstadt.de/Schnellnavigation/Rathaus-24-7/,nein,nein,,,,,,,
Iserlohn,92540,NRW,58636,http://www.iserlohn.de/,https://portal.kommunale.it/iserlohn/services,nein,nein,nein,,,,,,
Jena,111191,TH,7743,http://www.jena.de/,https://service.jena.de/de/dienstleistungen,nein,nein,,,,,,,
Kaiserslautern,101228,RP,67657,http://www.kaiserslautern.de/,https://www.kaiserslautern.de/serviceportal/index.html.de,nein,nein,,Entwickelt von neuraflow,,,,Datenschutzerklärung / Stadt Herford,
Kamenz,17015,SN,1917,http://www.kamenz.de/,https://www.kamenz.de/rathaus-uebersicht.html,nein,nein,,,,,,,
Karlsruhe,308707,BW,76124,http://www.karlsruhe.de/,https://www.karlsruhe.de/stadt-rathaus/service-buergerinformation/buergerdienste,nein,ja,,,,,,,
Kassel,204202,HE,34117,http://www.kassel.de/,https://www.kassel.de/service/index.php,nein,nein,,,,,,,
Kaufbeuren,45792,BY,87600,http://www.kaufbeuren.de/,https://www.kaufbeuren.de/nav/buergerservice.aspx,nein,nein,,,,,,,
Kempten (Allgäu),70056,BY,87435,http://www.kempten.de/,https://www.kempten.de/dienstleistungen-a-bis-z-6433.html,nein,nein,,,,,,,
Kiel,247717,SH,24103,http://www.kiel.de/,https://www.kiel.de/de/politik_verwaltung/service/index.php#?search=1,nein,nein,nein,,,,,,
Koblenz,115268,RP,56068,http://www.koblenz.de/,https://www.koblenz.de/rathaus/verwaltung/buergerservice/online-dienste-buergerservice/,nein,nein,,,,,,,
Konstanz,85859,BW,78462,http://www.konstanz.de/,https://www.konstanz.de/serviceportal/start,nein,nein,nein,,,,,,
Krefeld,228426,NRW,47798,http://www.krefeld.de/,https://service.krefeld.de,nein,ja,nein,Gibt Scherzantwort auf Frage nach Nutzungsbedingungen,nein,ja,,,
Köln,1084831,NRW,50667,http://www.stadt-koeln.de/,https://www.stadt-koeln.de/service/,ja,ja,,,,,,,
Landau in der Pfalz,47610,RP,76829,http://www.landau.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Landsberg am Lech,29551,BY,86886,https://www.landsberg.de/,https://www.buergerservice-portal.de/bayern/landsberglech,nein,nein,,,,,,,
Landshut,75457,BY,84026,http://www.landshut.de/,https://landshut.de/rathaus/buergerservice/online-dienste-im-ueberblick,nein,nein,,,,,,,
Leipzig,616093,SN,4109,http://www.leipzig.de/,https://www.leipzig.de/buergerservice-und-verwaltung/aemter-und-behoerdengaenge/behoerden-und-dienstleistungen,nein,nein,,,,,,,
Leverkusen,165748,NRW,51373,http://www.leverkusen.de/,https://leverkusen.kommunalportal.nrw/,nein,nein,,,,,,,
Limbach-Oberfrohna,23833,SN,9212,http://www.limbach-oberfrohna.de/,https://www.limbach-oberfrohna.de/de/onlineantraege-ueber-amt24.html,nein,nein,,,,,,,
Lindau (Bodensee),25846,BY,88131,http://www.lindau.de/,https://www.stadtlindau.de/B%C3%BCrger-Politik-Verwaltung/Online-B%C3%BCrgerservices/,nein,nein,,,,,,,
Ludwigsburg,94157,BW,71638,http://www.ludwigsburg.de/,https://www.ludwigsburg.de/start/rathaus+und+service/buergerservice.html,nein,nein,,,,,,,
Ludwigshafen am Rhein,174265,RP,67059,http://www.ludwigshafen.de/,https://ludwigshafen.de/buergerservice,nein,nein,,,,,,,
Lörrach,49876,BW,79539,http://www.loerrach.de/,https://www.loerrach.de/Buergerbuero,nein,nein,,,,,,,
Lübeck,218095,SH,23552,http://www.luebeck.de/,https://www.luebeck.de/de/buergerservice/index.html,nein,nein,,,,,,,
Lüneburg,76837,NI,21335,http://www.lueneburg.de/,https://service.hansestadt-lueneburg.de/,nein,nein,,,,,,,
Magdeburg,239364,ST,39104,http://www.magdeburg.de/,https://www.magdeburg.de/B%C3%BCrger-Stadt/Verwaltung-Service/Digitales-Rathaus-Magdeburg-/,nein,ja,,,,,,,
Mainz,220552,RP,55116,http://www.mainz.de/,https://www.mainz.de/verwaltung-und-politik/buergerservice-online/online-dienste.php,nein,nein,,,,,,,
Mannheim,315554,BW,68159,http://www.mannheim.de/,https://www.mannheim.de/de/service-bieten,nein,nein,,,,,,,
Marburg,77845,HE,35037,http://www.marburg.de/,https://digital.marburg.de/,nein,nein,,,,,,,
Memmingen,45857,BY,87700,http://www.memmingen.de/,https://www.memmingen.de/digitales-amt,ja,ja,,,,,,,
Mönchengladbach,268465,NRW,41061,http://www.moenchengladbach.de/,https://service.moenchengladbach.de/,nein,nein,,,,,,,
Mühlhausen/Thüringen,36226,TH,99974,http://www.muehlhausen.de/,https://www.muehlhausen.de/rathaus-erkunden/stadtverwaltung/buergerdienste-sicherheit-ordnung/buergerdienste/,nein,nein,,,,,,,
Mülheim an der Ruhr,172404,NRW,45468,http://www.muelheim-ruhr.de/,kein dezidiertes Portal,nein,nein,,,,,,,
München,1512491,BY,80313,http://www.muenchen.de/,https://stadt.muenchen.de/buergerservice.html,nein,nein,,,,,,,
Münster,320946,NRW,48127,http://www.muenster.de/,https://www.stadt-muenster.de/rathaus/online-services,nein,nein,,,,,,,
Neu-Ulm,61043,BY,89210,http://www.neu-ulm.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Neubrandenburg,63989,MV,17033,http://www.neubrandenburg.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Neuenhagen bei Berlin,19077,BB,15366,http://www.neuenhagen-bei-berlin.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Neumünster,79502,SH,24534,http://www.neumuenster.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Neuruppin,31422,BB,16816,http://www.neuruppin.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Neuss,154139,NRW,41460,http://www.neuss.de/,https://serviceportal-neuss.de/home,nein,nein,,,,,,,
Neustadt am Rübenberge,45262,NI,31535,http://www.neustadt-a-rbge.de,kein dezidiertes Portal,nein,nein,,,,,,,
Neustadt an der Weinstraße,53981,RP,67433,http://www.neustadt.eu,kein dezidiertes Portal,nein,nein,,,,,,,
Neustadt bei Coburg,15064,BY,96465,http://www.neustadt-bei-coburg.de/,https://www.buergerservice-portal.de/bayern/neustadtcob,nein,nein,,,,,,,
Neuwied,65986,RP,56564,http://www.neuwied.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Nordhausen,41339,TH,99734,http://www.nordhausen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Nürnberg,523026,BY,90403,http://www.nuernberg.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Oberhausen,210824,NRW,46045,http://www.oberhausen.de/,https://serviceportal.oberhausen.de/,nein,nein,,,,,,,
Offenbach am Main,134170,HE,63065,http://www.offenbach.de/,https://www.offenbach.de/buerger_innen/buerger-service/index.php,nein,nein,,,,,,,
Offenburg,61670,BW,77652,http://www.offenburg.de/,https://offenburg.de/de/leben-in-offenburg/buergerservice/online-dienste/,ja,ja,,,,,,,
Oldenburg,172830,NI,26122,http://www.oldenburg.de/,https://serviceportal.oldenburg.de/,nein,nein,,,,,,,
Oranienburg,47752,BB,16515,https://www.oranienburg.de/,https://oranienburg.de/Rathaus-Service/B%C3%BCrgerservice/Anliegen-A-Z/,nein,nein,,,,,,,
Osnabrück,167366,NI,49074,http://www.osnabrueck.de/,https://service.osnabrueck.de/,nein,nein,,,,,,,
Passau,53907,BY,94030,http://www.passau.de/,https://www.passau.de/rathaus-buergerservice/dienstleistungen/a-z/?search=,nein,nein,,,,,,,
Pforzheim,127849,BW,75175,http://www.pforzheim.de,https://www.pforzheim.de/buerger/buergerservice.html,nein,nein,,,,,,,
Pirmasens,40682,RP,66953,http://www.pirmasens.de/,https://www.pirmasens.de/leben-in-ps/buergerservice/,nein,nein,,,,,,,
Pirna,39054,SN,1796,http://www.pirna.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Plauen,64763,SN,8523,http://www.plauen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Potsdam,185750,BB,14469,http://www.potsdam.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Quedlinburg,23313,ST,6484,http://www.quedlinburg.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Recklinghausen,111734,NRW,45657,http://www.recklinghausen.de/,https://serviceportal.recklinghausen.de/servicesabisz,nein,nein,,,,,,,
Regensburg,157443,BY,93019,http://www.regensburg.de/,https://www.regensburg.de/buergerservice/dienstleistungen,nein,nein,,,,,,,
Remscheid,112613,NRW,42853,http://www.remscheid.de/,https://serviceportal.remscheid.de/,nein,nein,,,,,,,
Reutlingen,117547,BW,72764,http://www.reutlingen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Riesa,29076,SN,1589,http://www.riesa.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Rosenheim,64403,BY,83013,http://www.rosenheim.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Rostock,209920,MV,18055,http://www.rostock.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Saarbrücken,181959,SL,66111,http://www.saarbruecken.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Salzgitter,104548,NI,38226,http://www.salzgitter.de/,https://service.salzgitter.de/,nein,nein,,,,,,,
Sassnitz,9199,MV,18546,http://www.sassnitz.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Schwabach,41227,BY,91126,http://www.schwabach.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Schwedt/Oder,33495,BB,16303,http://www.schwedt.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Schweinfurt,54675,BY,97420,http://www.schweinfurt.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Schwerin,98596,MV,19053,http://www.schwerin.de/,https://serviceportal.schwerin.de/,nein,nein,,,,,,,
Schwäbisch Gmünd,62325,BW,73525,http://www.schwaebisch-gmuend.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Siegen,102560,NRW,57072,http://www.siegen.de/,Willkommen im Serviceportal der Stadtverwaltung Siegen. - Serviceportal,nein,nein,nein,,,,,,
Sindelfingen,64995,BW,71063,http://www.sindelfingen.de/,https://www.sindelfingen.de/start/buergerservice+online-dienste/online-antraege.html,nein,nein,,,,,,,
Solingen,160643,NRW,42651,http://www.solingen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Speyer,51368,RP,67346,http://www.speyer.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Stendal,39105,ST,39576,http://www.stendal.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Straubing,49164,BY,94315,http://www.straubing.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Stuttgart,632865,BW,70173,http://www.stuttgart.de/,https://www.stuttgart.de/service/index.php,nein,nein,nein,,,,,,
Suhl,37009,TH,98527,http://www.suhl.eu/,kein dezidiertes Portal,nein,nein,,,,,,,
Taucha,15816,SN,4425,http://www.taucha.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Teltow,27697,BB,14513,http://www.teltow.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Teterow,8434,MV,17166,http://www.teterow.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Trier,112195,RP,54290,http://www.trier.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Tübingen,92811,BW,72070,http://www.tuebingen.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Ulm,128928,BW,89073,http://www.ulm.de/,https://www.ulm.de/rathaus/buergerservice,ja,ja,,oft sehr langsam,ja,nein,https://www.ulm.de/sonderseiten/datenschutzerklaerung,https://www.ulm.de/sonderseiten/datenschutzerklaerung,
Velten,12424,BB,16727,http://www.velten.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Viersen,78208,NRW,41747,http://www.viersen.de/,https://www.viersen.de/serviceportal,nein,nein,,,,,,,
Villingen-Schwenningen,88213,BW,78050,http://www.villingen-schwenningen.de/,nein,ja,nein,,,,,,,
Weiden in der Oberpfalz,43052,BY,92637,http://www.weiden-oberpfalz.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Weimar,65620,TH,99423,http://www.weimar.de/,https://stadt.weimar.de/de/buergerservice.html,nein,nein,,,,,,,
Wiesbaden,283083,HE,65183,http://www.wiesbaden.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Wilhelmshaven,76089,NI,26382,http://www.wilhelmshaven.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Wismar,43878,MV,23952,http://www.wismar.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Witten,95897,NRW,58452,http://www.witten.de/,https://www.witten.de/rathaus-service/online-services/,nein,nein,,,,,,,
Wittenberg,45535,ST,6886,http://www.wittenberg.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Wolfsburg,125961,NI,38440,http://www.wolfsburg.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Wolgast,12055,MV,17438,http://www.stadt-wolgast.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Worms,84646,RP,67547,http://www.worms.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Wuppertal,358876,NRW,42275,http://www.wuppertal.de/,kein dezidiertes Portal,nein,nein,,,,,,,
Würzburg,127810,BY,97067,http://www.wuerzburg.de/,https://www.wuerzburg.de/rathaus,ja,ja,,,,,,,
Zweibrücken,34534,RP,66482,http://www.zweibruecken.de/,https://www.zweibruecken.de/de/verwaltung/aemter/ordnungsamt/buergerbuero/,nein,nein,,,,,,,
Zwickau,87172,SN,8056,http://www.zwickau.de/,https://www.zwickau.de/de/politik/verwaltung/aemter/obundbau/personal_hauptamt/service.php,nein,nein,nein,,,,,,
